,ano,codigo,rdeser,total_matriculados,mat_mas,promedio_edad,municipal,particular,arancel,total_titulados,rmat_tit,clasif_inst_n3,area_ocde,modalidad,jornada,acreditada
30,2014,I34S1C118J1V1,Muy Bajo,Bajo,Muy Bajo,Alto,Muy Bajo,Medio Alto,Muy Bajo,Alto,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
31,2014,I34S1C114J1V1,Alto,Muy Bajo,Medio Alto,Alto,Muy Bajo,Medio Alto,Alto,Medio Alto,Medio Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
33,2014,I34S1C10J1V2,Muy Bajo,Alto,Muy Bajo,Medio,Muy Bajo,Alto,Alto,Alto,Muy Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
34,2014,I31S1C6J2V1,Bajo,Bajo,Medio Alto,Alto,Bajo,Medio,Bajo,Medio Alto,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
35,2014,I31S1C6J1V1,Medio,Bajo,Medio,Medio,Bajo,Medio Alto,Bajo,Medio,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
36,2014,I34S1C109J1V1,Muy Bajo,Muy Bajo,Muy Bajo,Alto,Muy Bajo,Medio,Medio,Medio,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
37,2014,I34S1C101J1V1,Bajo,Muy Bajo,Bajo,Alto,Muy Bajo,Medio Alto,Alto,Medio Alto,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
38,2014,I45S4C7J1V2,Bajo,Alto,Medio Alto,Muy Bajo,Muy Bajo,Alto,Alto,Alto,Medio Alto,Universidades Privadas,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
39,2014,I45S4C501J1V1,Muy Bajo,Muy Bajo,Muy Bajo,Alto,Muy Bajo,Alto,Muy Bajo,Medio Alto,Muy Bajo,Universidades Privadas,EDUCACI�N,PRESENCIAL,DIURNO,no acreditado
40,2014,I31S2C51J1V1,Medio Alto,Alto,Medio,Medio Alto,Medio Alto,Medio Alto,Alto,Medio,Medio,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
41,2014,I45S4C460J1V1,Alto,Muy Bajo,Medio,Medio Alto,Medio,Alto,Bajo,Medio,Medio,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
42,2014,I45S4C408J1V1,Muy Bajo,Bajo,Alto,Alto,Muy Bajo,Medio,Alto,Medio Alto,Medio Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
43,2014,I45S4C398J1V1,Medio Alto,Bajo,Medio,Alto,Muy Bajo,Medio Alto,Medio Alto,Bajo,Medio Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
44,2014,I45S4C391J1V1,Muy Bajo,Muy Bajo,Medio,Alto,Muy Bajo,Medio Alto,Medio,Medio,Medio Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
46,2014,I45S4C287J1V1,Bajo,Muy Bajo,Medio Alto,Alto,Muy Bajo,Alto,Alto,Bajo,Medio,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
47,2014,I45S4C265J5V1,Muy Bajo,Bajo,Bajo,Alto,Muy Bajo,Alto,Alto,Bajo,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,OTRO,no acreditado
48,2014,I4S7C6J1V1,Medio,Alto,Bajo,Bajo,Medio,Medio,Medio Alto,Medio Alto,Muy Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
51,2014,I45S4C246J1V1,Bajo,Muy Bajo,Muy Bajo,Alto,Muy Bajo,Alto,Medio Alto,Medio Alto,Muy Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
52,2014,I45S4C227J1V1,Medio Alto,Muy Bajo,Bajo,Alto,Muy Bajo,Alto,Alto,Medio,Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
53,2014,I45S4C222J2V1,Bajo,Bajo,Alto,Alto,Muy Bajo,Medio,Alto,Bajo,Alto,Universidades Privadas,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,acreditado
56,2014,I45S4C203J1V1,Medio,Medio,Medio Alto,Alto,Muy Bajo,Medio Alto,Alto,Muy Bajo,Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
57,2014,I45S4C17J1V2,Muy Bajo,Alto,Muy Bajo,Bajo,Muy Bajo,Alto,Alto,Alto,Muy Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
59,2014,I45S2C97J1V1,Medio,Bajo,Medio,Bajo,Muy Bajo,Alto,Alto,Bajo,Medio,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
60,2014,I45S2C5J1V1,Muy Bajo,Medio Alto,Bajo,Bajo,Muy Bajo,Alto,Alto,Alto,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
62,2014,I45S2C54J1V1,Medio,Medio Alto,Muy Bajo,Muy Bajo,Muy Bajo,Alto,Alto,Medio,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
63,2014,I45S2C53J1V1,Medio,Alto,Bajo,Muy Bajo,Muy Bajo,Alto,Alto,Bajo,Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
64,2014,I45S2C4J1V1,Bajo,Alto,Medio,Bajo,Muy Bajo,Alto,Alto,Alto,Medio Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
65,2014,I45S2C38J1V1,Bajo,Alto,Bajo,Bajo,Muy Bajo,Alto,Alto,Alto,Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
66,2014,I45S2C33J1V1,Bajo,Alto,Muy Bajo,Muy Bajo,Muy Bajo,Alto,Alto,Alto,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
67,2014,I45S2C32J1V1,Muy Bajo,Alto,Medio,Medio,Muy Bajo,Alto,Alto,Alto,Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
68,2014,I45S2C2J1V1,Bajo,Alto,Medio Alto,Muy Bajo,Muy Bajo,Alto,Alto,Alto,Medio Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
69,2014,I45S2C215J1V1,Medio Alto,Muy Bajo,Muy Bajo,Alto,Muy Bajo,Alto,Alto,Medio Alto,Bajo,Universidades Privadas,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
70,2014,I45S2C101J1V1,Medio,Medio Alto,Bajo,Muy Bajo,Muy Bajo,Alto,Alto,Medio Alto,Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
73,2014,I47S3C72J2V1,Medio,Medio,Medio Alto,Medio Alto,Medio,Bajo,Bajo,Medio Alto,Medio,Universidades Privadas,SERVICIOS,PRESENCIAL,VESPERTINO,no acreditado
75,2014,I47S3C70J2V1,Alto,Bajo,Medio,Medio Alto,Bajo,Medio Alto,Bajo,Bajo,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
77,2014,I47S3C45J1V1,Muy Bajo,Alto,Muy Bajo,Medio Alto,Bajo,Bajo,Alto,Alto,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
78,2014,I47S3C43J1V1,Muy Bajo,Bajo,Bajo,Medio Alto,Bajo,Medio Alto,Alto,Bajo,Bajo,Universidades Privadas,AGRICULTURA,PRESENCIAL,DIURNO,no acreditado
80,2014,I40S1C8J1V1,Bajo,Medio,Medio,Medio Alto,Medio,Medio Alto,Medio Alto,Bajo,Muy Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
81,2014,I47S3C1J1V1,Medio Alto,Bajo,Medio,Medio,Bajo,Medio,Medio Alto,Medio,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
82,2014,I47S1C8J1V1,Muy Bajo,Alto,Muy Bajo,Bajo,Muy Bajo,Alto,Alto,Alto,Muy Bajo,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
85,2014,I47S1C60J1V1,Alto,Bajo,Alto,Medio,Bajo,Alto,Medio Alto,Bajo,Alto,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
86,2014,I47S1C28J1V1,Muy Bajo,Alto,Muy Bajo,Medio Alto,Muy Bajo,Alto,Alto,Alto,Muy Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
87,2014,I47S1C26J1V1,Bajo,Medio Alto,Medio,Medio,Muy Bajo,Alto,Alto,Alto,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
88,2014,I47S1C23J1V1,Muy Bajo,Medio,Muy Bajo,Medio,Muy Bajo,Alto,Alto,Medio Alto,Muy Bajo,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
89,2014,I47S1C1J2V2,Alto,Medio,Medio Alto,Alto,Muy Bajo,Muy Bajo,Medio Alto,Bajo,Muy Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
90,2014,I34S1C8J1V2,Medio,Medio Alto,Bajo,Muy Bajo,Muy Bajo,Alto,Alto,Medio,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
91,2014,I34S1C6J1V1,Bajo,Alto,Muy Bajo,Muy Bajo,Muy Bajo,Alto,Alto,Alto,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
92,2014,I3S1C8J1V1,Muy Bajo,Alto,Bajo,Bajo,Muy Bajo,Alto,Alto,Alto,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
93,2014,I3S1C6J2V1,Muy Bajo,Alto,Medio,Medio Alto,Bajo,Medio Alto,Medio Alto,Alto,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,acreditado
94,2014,I3S1C67J1V1,Muy Bajo,Alto,Muy Bajo,Bajo,Muy Bajo,Alto,Alto,Alto,Bajo,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,acreditado
95,2014,I3S1C63J1V1,Bajo,Alto,Bajo,Bajo,Medio,Medio Alto,Alto,Alto,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
96,2014,I3S1C62J1V1,Bajo,Alto,Medio,Bajo,Muy Bajo,Alto,Alto,Medio Alto,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
97,2014,I3S1C57J1V1,Bajo,Medio Alto,Muy Bajo,Bajo,Muy Bajo,Alto,Medio Alto,Medio Alto,Muy Bajo,Universidades Privadas,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
98,2014,I3S1C56J1V1,Muy Bajo,Alto,Bajo,Medio,Bajo,Alto,Alto,Alto,Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
99,2014,I3S1C55J1V1,Muy Bajo,Alto,Medio,Medio,Medio,Alto,Alto,Alto,Medio,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
100,2014,I3S1C54J1V1,Bajo,Bajo,Bajo,Medio,Muy Bajo,Alto,Alto,Medio,Bajo,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
101,2014,I3S1C4J1V1,Alto,Medio Alto,Medio,Muy Bajo,Bajo,Alto,Medio Alto,Medio,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
102,2014,I3S1C49J1V1,Bajo,Alto,Medio Alto,Bajo,Bajo,Alto,Alto,Alto,Medio Alto,Universidades Privadas,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
103,2014,I3S1C48J1V1,Muy Bajo,Medio,Medio Alto,Bajo,Bajo,Alto,Alto,Medio,Medio,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,acreditado
104,2014,I3S1C46J1V1,Muy Bajo,Alto,Muy Bajo,Medio,Medio,Medio Alto,Alto,Alto,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
105,2014,I3S1C44J1V1,Muy Bajo,Alto,Medio,Muy Bajo,Muy Bajo,Alto,Alto,Alto,Medio Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
106,2014,I3S1C41J1V1,Bajo,Alto,Medio,Bajo,Muy Bajo,Alto,Alto,Alto,Medio,Universidades Privadas,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
107,2014,I47S3C9J1V1,Bajo,Bajo,Muy Bajo,Bajo,Medio,Muy Bajo,Medio Alto,Bajo,Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
108,2014,I3S1C324J2V1,Alto,Muy Bajo,Medio,Alto,Muy Bajo,Alto,Bajo,Muy Bajo,Medio Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
110,2014,I3S1C309J2V1,Bajo,Muy Bajo,Medio Alto,Medio Alto,Muy Bajo,Alto,Alto,Bajo,Medio,Universidades Privadas,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,no acreditado
111,2014,I3S1C308J2V1,Alto,Bajo,Medio,Alto,Muy Bajo,Alto,Alto,Muy Bajo,Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
112,2014,I3S1C306J2V1,Medio,Bajo,Medio Alto,Alto,Muy Bajo,Medio Alto,Alto,Medio Alto,Medio Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
113,2014,I3S1C304J2V1,Alto,Bajo,Medio Alto,Alto,Muy Bajo,Medio,Alto,Medio,Medio Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
114,2014,I3S1C303J2V1,Medio Alto,Medio Alto,Medio,Alto,Muy Bajo,Medio Alto,Alto,Bajo,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
115,2014,I3S1C2J1V1,Bajo,Alto,Medio Alto,Muy Bajo,Muy Bajo,Alto,Alto,Alto,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
116,2014,I3S1C291J2V1,Alto,Muy Bajo,Muy Bajo,Alto,Muy Bajo,Alto,Muy Bajo,Muy Bajo,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
117,2014,I3S1C285J2V1,Alto,Muy Bajo,Bajo,Alto,Muy Bajo,Alto,Muy Bajo,Bajo,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
118,2014,I3S1C265J1V1,Medio Alto,Muy Bajo,Medio,Alto,Muy Bajo,Alto,Medio Alto,Muy Bajo,Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
121,2014,I3S1C257J2V1,Bajo,Muy Bajo,Bajo,Alto,Muy Bajo,Alto,Bajo,Medio,Medio,Universidades Privadas,EDUCACI�N,PRESENCIAL,VESPERTINO,no acreditado
123,2014,I3S1C255J2V1,Medio Alto,Muy Bajo,Medio Alto,Alto,Muy Bajo,Medio,Medio,Bajo,Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
124,2014,I3S1C254J2V1,Muy Bajo,Muy Bajo,Medio Alto,Alto,Muy Bajo,Medio,Medio Alto,Medio Alto,Medio Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
125,2014,I3S1C248J2V1,Alto,Muy Bajo,Bajo,Alto,Muy Bajo,Medio Alto,Muy Bajo,Muy Bajo,Medio Alto,Universidades Privadas,EDUCACI�N,PRESENCIAL,VESPERTINO,no acreditado
126,2014,I3S1C246J2V1,Medio,Medio,Medio,Alto,Muy Bajo,Medio Alto,Alto,Alto,Medio Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
127,2014,I3S1C226J2V1,Medio Alto,Muy Bajo,Medio Alto,Alto,Muy Bajo,Medio Alto,Bajo,Medio,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
128,2014,I3S1C224J2V1,Alto,Muy Bajo,Medio,Alto,Muy Bajo,Alto,Bajo,Medio,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
130,2014,I3S1C206J2V1,Medio,Muy Bajo,Medio,Alto,Muy Bajo,Medio Alto,Medio Alto,Muy Bajo,Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
131,2014,I3S1C205J2V1,Muy Bajo,Muy Bajo,Medio Alto,Alto,Bajo,Alto,Bajo,Medio,Medio,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,VESPERTINO,acreditado
132,2014,I3S1C1J1V1,Muy Bajo,Alto,Medio,Medio,Muy Bajo,Alto,Alto,Alto,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
133,2014,I3S1C158J2V1,Bajo,Alto,Medio,Alto,Muy Bajo,Medio Alto,Medio Alto,Alto,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
134,2014,I3S1C155J1V1,Bajo,Alto,Medio,Muy Bajo,Muy Bajo,Alto,Alto,Alto,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
135,2014,I3S1C153J2V1,Muy Bajo,Medio Alto,Alto,Alto,Bajo,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Universidades Privadas,CIENCIAS,PRESENCIAL,VESPERTINO,no acreditado
136,2014,I3S1C149J2V1,Bajo,Muy Bajo,Muy Bajo,Alto,Muy Bajo,Alto,Medio Alto,Medio,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
137,2014,I3S1C13J1V1,Muy Bajo,Alto,Medio,Muy Bajo,Muy Bajo,Alto,Alto,Alto,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
140,2014,I3S1C126J1V1,Bajo,Medio,Muy Bajo,Bajo,Muy Bajo,Alto,Alto,Bajo,Muy Bajo,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
141,2014,I3S1C121J2V1,Medio Alto,Muy Bajo,Medio Alto,Alto,Muy Bajo,Alto,Medio Alto,Muy Bajo,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
142,2014,I3S1C11J1V1,Bajo,Alto,Alto,Bajo,Muy Bajo,Alto,Alto,Alto,Alto,Universidades Privadas,CIENCIAS,PRESENCIAL,DIURNO,acreditado
143,2014,I3S1C10J1V1,Muy Bajo,Alto,Medio Alto,Bajo,Muy Bajo,Alto,Alto,Alto,Medio Alto,Universidades Privadas,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
144,2014,I2S1C8J1V1,Medio Alto,Medio,Muy Bajo,Muy Bajo,Muy Bajo,Alto,Alto,Bajo,Muy Bajo,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
145,2014,I2S1C5J1V1,Alto,Medio Alto,Bajo,Bajo,Muy Bajo,Alto,Alto,Medio,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
146,2014,I2S1C4J1V1,Muy Bajo,Medio,Muy Bajo,Bajo,Muy Bajo,Alto,Alto,Medio Alto,Muy Bajo,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
147,2014,I2S1C3J1V1,Muy Bajo,Alto,Medio,Bajo,Muy Bajo,Alto,Alto,Medio Alto,Medio Alto,Universidades Privadas,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
148,2014,I2S1C30J1V1,Medio Alto,Muy Bajo,Muy Bajo,Alto,Muy Bajo,Alto,Alto,Muy Bajo,Alto,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
